step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,terminal_observation
155.0,24,1352.0,23.719298245614034,5.6512726518662495,24,1431.0,0.27242064738563454,24,1431.0,False,
160.0,31,1482.0,25.11864406779661,5.14565293489154,31,1494.0,0.19063528418910886,31,1494.0,False,
165.0,32,1638.0,28.736842105263158,4.636413254851837,32,1638.0,0.1620824645951938,32,1638.0,False,
170.0,28,1612.0,28.280701754385966,4.357944639759632,28,1711.0,0.1874218657312605,28,1711.0,False,
175.0,33,1740.0,32.22222222222222,3.1867095714799074,33,1756.0,0.1378684372440118,33,1756.0,False,
180.0,32,1764.0,33.92307692307692,3.272235500202819,32,1871.0,0.14421841236833777,32,1871.0,False,
185.0,28,1842.0,30.7,3.630144322838328,28,1921.0,0.17072998801266162,28,1921.0,False,
190.0,30,1989.0,33.15,5.253679489833316,30,2007.0,0.26069305211373656,30,2007.0,False,
195.0,32,2147.0,35.78333333333333,4.192292091515495,32,2163.0,0.1662160385643607,32,2163.0,False,
200.0,34,1343.0,22.383333333333333,3.6910874854527562,34,1980.0,0.1405333545990262,34,1980.0,False,
205.0,30,519.0,8.370967741935484,4.1923828404413985,30,1505.0,0.18015181968813493,30,1505.0,False,
210.0,25,447.0,7.706896551724138,4.852745946104991,25,952.0,0.217541475197323,25,952.0,False,
215.0,28,580.0,10.357142857142858,5.169524399239342,28,743.0,0.2492272269303669,28,743.0,False,
220.0,33,482.0,7.650793650793651,3.438109894934428,33,753.0,0.11949817536464302,33,753.0,False,
225.0,25,382.0,6.366666666666666,4.926299983866609,25,699.0,0.2352788138001808,25,699.0,False,
230.0,16,218.0,3.6333333333333333,3.9904289172195146,16,646.0,0.18250058629911226,16,646.0,False,
235.0,31,333.0,5.55,3.643243229859463,31,633.0,0.14320833140001077,31,633.0,False,
240.0,30,445.0,7.672413793103448,3.228720898904006,30,719.0,0.09574113361587995,30,719.0,False,
245.0,29,554.0,9.389830508474576,3.7462808337310514,29,739.0,0.14559199799726874,29,739.0,False,
250.0,30,686.0,11.827586206896552,4.3409956865499595,30,806.0,0.15073756782134268,30,806.0,False,
255.0,32,843.0,14.05,4.300083455667915,32,949.0,0.16821466485711126,32,949.0,False,
260.0,30,701.0,11.306451612903226,4.459264817472888,30,993.0,0.22205791171429382,30,993.0,False,
265.0,31,532.0,8.866666666666667,4.066893472460698,31,904.0,0.20068347295570363,31,904.0,False,
270.0,26,564.0,9.4,4.307811791180059,26,865.0,0.17072770881172392,26,865.0,False,
275.0,28,701.0,11.88135593220339,5.098028244225782,28,869.0,0.23896989924964238,28,869.0,False,
280.0,32,844.0,13.612903225806452,4.766853718399618,32,962.0,0.21374832034990118,32,962.0,False,
285.0,32,1004.0,17.016949152542374,4.919637548825747,32,1108.0,0.1906064549083009,32,1108.0,False,
290.0,37,1173.0,19.55,3.1699049658175444,37,1277.0,0.09789692090692494,37,1277.0,False,
295.0,34,1152.0,18.580645161290324,3.9582585949001516,34,1382.0,0.18304839132106837,34,1382.0,False,
300.0,25,1083.0,19.0,4.708690556326534,25,1385.0,0.2460013429942556,25,1385.0,False,
