step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
125.0,45,769.0,11.830769230769231,1.4701813600477613,45,1467.0,0.07722204920488672,45,1467.0
130.0,54,1025.0,14.855072463768115,1.490469281111365,54,1723.0,0.05683801229392079,54,1723.0
135.0,57,1176.0,16.333333333333332,1.4725116030945657,57,1858.0,0.05611462280477997,57,1858.0
140.0,49,1237.0,16.945205479452056,1.939542468671382,49,1788.0,0.0676533532969048,49,1788.0
145.0,56,1332.0,16.65,2.4706977651628157,56,1751.0,0.055664680646061,56,1751.0
150.0,41,1402.0,17.525,3.8944984988298783,41,1761.0,0.18006143184716958,41,1761.0
155.0,38,1537.0,20.223684210526315,4.692589140509159,38,1793.0,0.227074580079562,38,1793.0
160.0,40,1434.0,18.384615384615383,3.686036646150842,40,1839.0,0.18629326713953276,40,1839.0
165.0,45,1594.0,20.7012987012987,2.8237667564292477,45,1866.0,0.10751754316228332,45,1866.0
170.0,50,1816.0,23.584415584415584,2.514504693595987,50,2058.0,0.07908163904584783,50,2058.0
175.0,58,2092.0,28.27027027027027,1.837503938096566,58,2328.0,0.04653417059713376,58,2328.0
180.0,60,2377.0,33.013888888888886,1.1644537696082418,60,2609.0,0.026561589795210186,60,2609.0
185.0,62,2683.0,34.84415584415584,1.4538555457330393,62,2915.0,0.05237727344027389,62,2915.0
190.0,65,3003.0,38.5,1.7953126232083407,65,3235.0,0.08529404136475488,65,3235.0
195.0,68,3334.0,43.298701298701296,1.0379016059358297,68,3566.0,0.038908538469268415,68,3566.0
200.0,66,2964.0,37.05,0.801309019102348,66,3657.0,0.022326971597191277,66,3657.0
205.0,60,2284.0,28.55,1.8635262099421646,60,3503.0,0.060233376328837664,60,3503.0
210.0,55,1801.0,22.5125,1.8955125403167017,55,3785.0,0.062440246544839595,55,3785.0
215.0,56,1607.0,21.144736842105264,1.0307636828399127,56,4063.0,0.03736401548884053,56,4063.0
220.0,56,1631.0,19.890243902439025,1.2931072628988949,56,4099.0,0.06291136013402826,56,4099.0
225.0,52,1811.0,21.55952380952381,2.331972642321396,52,3915.0,0.11598341551972048,52,3915.0
230.0,42,1880.0,22.38095238095238,2.670302986537149,42,3880.0,0.10674447725825056,42,3880.0
235.0,50,2085.0,24.821428571428573,2.3336716050736754,50,4057.0,0.058863464815724464,50,4057.0
240.0,50,2318.0,28.975,2.2852679037554706,50,4296.0,0.06582564720147278,50,4296.0
245.0,60,2592.0,32.4,1.6913436603808059,60,4570.0,0.05314742629792128,60,4570.0
250.0,59,2371.0,30.397435897435898,0.7062227787494041,59,4650.0,0.014987848351752774,59,4650.0
255.0,59,1901.0,23.182926829268293,1.4501349386030342,59,4520.0,0.04984365869730898,59,4520.0
260.0,59,1466.0,17.452380952380953,2.0954081685575323,59,4809.0,0.09405400945197509,59,4809.0
265.0,56,1135.0,14.012345679012345,1.8573792974979346,56,5093.0,0.1023204909137014,56,5093.0
270.0,52,910.0,11.666666666666666,0.9508527560582835,52,5088.0,0.047495227670149055,52,5088.0
275.0,53,830.0,9.880952380952381,1.8315813703857486,53,4723.0,0.05766071015899057,53,4723.0
280.0,50,770.0,9.166666666666666,2.070286291166737,50,4956.0,0.07198928813804777,50,4956.0
285.0,52,788.0,9.728395061728396,1.5231311161567822,52,5207.0,0.047079418036285035,52,5207.0
290.0,52,791.0,9.646341463414634,1.4134546403520998,52,5401.0,0.05537135722145121,52,5401.0
295.0,59,1070.0,12.738095238095237,1.7922875383235795,59,5636.0,0.07742278774356587,59,5636.0
300.0,65,1379.0,16.03488372093023,1.7556164991880827,65,5946.0,0.07607975750907663,65,5946.0
305.0,72,1721.0,20.24705882352941,0.9063162943513898,72,6289.0,0.022277345584287976,72,6289.0
310.0,78,2104.0,25.047619047619047,0.7253925328125,78,6673.0,0.0115365524732185,78,6673.0
315.0,78,2494.0,30.048192771084338,0.7323803704149227,78,7063.0,0.023595456869791344,78,7063.0
